time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446100000	15.9115	4.03769	5.23218	0.652349	0.34925	lidar	0.36255	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1041	4.20191	5.13083	0.683055	0.381259	radar	1.55727	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3008	4.39372	5.16516	0.715365	0.400209	lidar	0.222267	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5119	4.5592	5.20621	0.725094	0.380985	radar	0.728554	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6905	4.71789	5.16953	0.740751	0.376233	lidar	0.505189	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8394	4.9089	4.98906	0.794104	0.452668	radar	3.45644	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9997	5.13533	5.0391	0.84097	0.487194	lidar	0.414706	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1714	5.29948	5.00619	0.852729	0.470097	radar	1.63575	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3292	5.47309	4.97772	0.870376	0.461918	lidar	0.168107	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4876	5.63304	4.91017	0.882478	0.450764	radar	2.92743	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6825	5.74121	4.82538	0.857248	0.383745	lidar	1.69281	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8282	5.92971	4.77203	0.887853	0.409828	radar	0.602914	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18	6.12377	4.80704	0.90347	0.403045	lidar	0.952779	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1524	6.329	4.85627	0.925093	0.400989	radar	0.864918	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2699	6.57932	4.91974	0.97636	0.444884	lidar	0.68924	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
